0x0000,GridVoltage(X1),R,GridVoltage,0.1,V,uint16,1
0x0001,GridCurrent(X1),R,GridCurrent,0.1,A,int16,1
0x0002,GridPower(X1),R,GridPower,1,W,int16,1
0x0003,PvVoltage1,R,PvVoltage1,0.1,V,uint16,1
0x0004,PvVoltage2,R,PvVoltage2,0.1,V,uint16,1
0x0005,PvCurrent1,R,PvCurrent1,0.1,A,uint16,1
0x0006,PvCurrent2,R,PvCurrent2,0.1,A,uint16,1
0x0007,GridFrequency(X1),R,GridFrequency,0.01,Hz,uint16,1
0x0008,Temperature,R,radiator temperature,1,°C,int16,1
0x0009,RunMode,R,Table 2-2 Run mode description,,,uint16,1
0x000A,Powerdc1,R,Powerdc1,1,W,uint16,1
0x000B,Powerdc2,R,Powerdc2,1,W,uint16,1
0x000C,TemperFaultValue,R,TemperFaultValue,1,°C,int16,1
0x000D,Pv1VoltFaultValue,R,Pv1VoltFaultValue,0.1,V,uint16,1
0x000E,Pv2VoltFaultValue,R,Pv2VoltFaultValue,0.1,V,uint16,1
0x000F,GfciFaultValue,R,GfciFaultValue,1,mA,uint16,1
0x0010,GridVoltFaultValue,R,GridVoltFaultValue,0.1,V,uint16,1
0x0011,GridFreqFaultValueT,R,GridFreqFaultValueT,0.01,Hz,uint16,1
0x0012,DciFaultValue,R,DciFaultValue,1,mA,uint16,1
0x0013,TimeCountDown,R,TimeCountDown,1,ms,uint16,1
0x0014,BatVoltage_Charge1,R,BatVoltage_Charge1,0.1,V,int16,1
0x0015,BatCurrent_Charge1,R,BatCurrent_Charge1,0.1,A,int16,1
0x0016,Batpower_Charge1,R,Batpower_Charge1,1,W,int16,1
0x0017,BMS_Connect_State,R,0:Disconnected 1:Connected,,,uint16,1
0x0018,TemperatureBat,R,TemperatureBat,1,℃,int16,1
0x0019,BDCStatus,R,0: discharge 1: charge 2: stop ,,,uint16,1
0x001A,GridStatus,R,0: OnGrid 1: OffGrid,,,uint16,1
0x001B,MPPTCount,R,MPPTCount,1,,uint16,1
0x001C,BatteryCapacity,R,Battery capacity,1,%,uint16,1
